Subject_ID,Overall_Status,Sbref_Direction,IntendedFor,DWI_Parameters,File_Properties,Missing_Files,Extra_Files,DWI_Version,ASL_Version,M0scan_Status,Total_Missing_Files,Total_Extra_Files,DWI_Dimensions,DWI_TR,RevB0_Dimensions,RevB0_TR,ASL_Dimensions,ASL_TR,Missing_Files_Detail,Extra_Files_Detail,Property_Issues_Detail,DWI_Parameter_Issues
sub-0663,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0664,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0666,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0667,HAS ISSUES,CORRECT,INCORRECT,INCORRECT,INCORRECT,INCORRECT,INCORRECT,UNKNOWN,v2 (LATEST),SEPARATE,2,6,104 x 104 x 72 x 105,3200.0 ms,88 x 88 x 64 x 3,6350.0 ms,128 x 128 x 48 x 25,4200.0 ms,"func_AP_epi_nii, func_AP_epi_json","sub-0667_ses-01_dir-AP_run-02_epi.json, sub-0667_ses-01_dir-PA_run-03_epi.nii.gz, sub-0667_ses-01_dir-AP_run-01_epi.json, sub-0667_ses-01_dir-AP_run-01_epi.nii.gz, sub-0667_ses-01_dir-AP_run-02_epi.nii.gz, sub-0667_ses-01_dir-PA_run-03_epi.json",,"EchoTime: DWI=0.079, RevB0=0.051; RepetitionTime: DWI=3.2, RevB0=6.35; EffectiveEchoSpacing: DWI=0.000670015, RevB0=0.000580014"
sub-0668,MULTIPLE SESSION,,,,,,,,,,,,,,,,,,,,,
sub-0669,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0670,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0671,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0672,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0673,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0675,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0676,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0677,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
